Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
     209    2100       1       9      16     9.7    91.6    9.06   193.2     1.3     1.3     0.0    0.00
     210    2100       1       9      17     9.6    92.7    9.38   193.1     0.0     0.0     0.0    0.00
     211    2100       1       9      18     9.6    93.8   10.45   192.8     0.0     0.0     0.0    0.00
     212    2100       1       9      19     9.5    94.9   11.42   183.2     0.0     0.0     0.0    0.00
     213    2100       1       9      20     9.5    96.0   12.49   182.9     0.0     0.0     0.0    0.15
     214    2100       1       9      21     9.9    96.5   12.81   182.9     0.0     0.0     0.0    0.83
     215    2100       1       9      22    10.3    97.0   13.45   210.9     0.0     0.0     0.0    2.61
     216    2100       1       9      23    10.7    97.6   13.77   210.8     0.0     0.0     0.0    6.89
     217    2100       1      10       0    11.2    96.0   13.02   210.9     0.0     0.0     0.0    2.54
     218    2100       1      10       1    11.5    94.4   12.39   229.4     0.0     0.0     0.0    1.92
     219    2100       1      10       2    12.0    92.7   11.65   229.4     0.0     0.0     0.0    0.50
     220    2100       1      10       3    11.8    92.7   11.97   229.4     0.0     0.0     0.0    0.00
     221    2100       1      10       4    11.5    92.7   12.40   220.2     0.0     0.0     0.0    0.00
     222    2100       1      10       5    11.2    92.7   12.72   220.2     0.0     0.0     0.0    0.00
     223    2100       1      10       6    11.3    88.3   12.72   220.2     0.0     0.0     0.0    0.00
     224    2100       1      10       7    11.5    83.7   12.68   238.7     0.0     0.0     0.0    0.25
     225    2100       1      10       8    11.5    79.0   12.68   238.7     0.0     0.0     0.0    0.00
     226    2100       1      10       9    11.5    75.2   13.75   238.8     0.0     0.0     0.0    0.00
     227    2100       1      10      10    11.5    71.2   14.57   267.2     3.4     3.4     0.0    0.00
     228    2100       1      10      11    11.4    67.2   15.64   267.4    19.8    19.8     0.0    0.00
     229    2100       1      10      12    11.2    67.9   13.82   267.1    59.2    39.7   144.1    0.00
     230    2100       1      10      13    11.0    68.4   12.11   266.7    74.7    40.8   252.9    0.00
     231    2100       1      10      14    10.8    69.1   10.30   266.1    67.0    37.8   283.6    0.00
     232    2100       1      10      15     9.9    71.6    8.48   265.3    31.1    31.1     0.0    0.00
     233    2100       1      10      16     9.0    73.9    6.88   255.2     3.0     3.0     0.0    0.00
     234    2100       1      10      17     8.1    76.4    5.07   253.4     0.0     0.0     0.0    0.00
     235    2100       1      10      18     7.8    78.4    4.75   253.0     0.0     0.0     0.0    0.00
     236    2100       1      10      19     7.5    80.5    4.43   204.7     0.0     0.0     0.0    0.00
     237    2100       1      10      20     7.2    82.5    4.11   205.0     0.0     0.0     0.0    0.00
     238    2100       1      10      21     7.0    84.5    3.04   206.8     0.0     0.0     0.0    0.00
     239    2100       1      10      22     6.7    86.6    1.98   210.5     0.0     0.0     0.0    0.00
     240    2100       1      10      23     6.5    88.5    0.95   222.4     0.0     0.0     0.0    0.00
     241    2100       1      11       0     6.7    91.9    0.82   148.5     0.0     0.0     0.0    0.00
     242    2100       1      11       1     6.9    95.2    1.66   115.1     0.0     0.0     0.0    0.00
     243    2100       1      11       2     7.1    98.4    2.66   105.3     0.0     0.0     0.0    0.32
     244    2100       1      11       3     7.1    98.4    2.98   103.6     0.0     0.0     0.0    0.98
     245    2100       1      11       4     7.2    98.4    3.02    52.4     0.0     0.0     0.0    1.47
     246    2100       1      11       5     7.2    98.4    3.34    52.2     0.0     0.0     0.0    2.01
     247    2100       1      11       6     6.9    98.4    4.09    51.8     0.0     0.0     0.0    1.47
     248    2100       1      11       7     6.5    98.4    4.90     4.0     0.0     0.0     0.0    0.56
     249    2100       1      11       8     6.3    98.4    5.64     4.8     0.0     0.0     0.0    0.09
     250    2100       1      11       9     6.1    98.7    5.96     5.1     0.0     0.0     0.0    0.98
     251    2100       1      11      10     5.9    99.3    6.39     5.4     1.1     1.1     0.0    1.14
     252    2100       1      11      11     5.7    99.7    6.71     5.7     9.9     9.9     0.0    0.55
     253    2100       1      11      12     5.7    98.1    6.71     5.7    22.6    22.6     0.0    1.11
     254    2100       1      11      13     5.7    96.5    7.26   322.8    25.3    25.3     0.0    1.60
     255    2100       1      11      14     5.7    94.9    7.26   322.8    53.5    34.0   186.2    0.00
     256    2100       1      11      15     5.4    94.3    6.94   322.5    46.6    46.6     0.0    0.00
     257    2100       1      11      16     5.2    93.7    6.52   322.0     8.8     8.8     0.0    0.00
     258    2100       1      11      17     4.9    93.2    6.20   321.6     0.0     0.0     0.0    0.00
